VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2026-01-01 00:29:56,2026-01-01 00:53:41,1.0,15.42,1.0,N,132,255,1,56.9,1.0,0.5,14.85,0.0,1.0,76.0,0.0,1.75,0.0
2,2026-01-01 00:24:59,2026-01-01 00:55:26,1.0,4.75,1.0,N,143,125,2,29.6,1.0,0.5,0.0,0.0,1.0,35.35,2.5,0.0,0.75
1,2026-01-01 00:07:09,2026-01-01 00:31:30,0.0,1.6,1.0,N,79,90,1,21.2,4.25,0.5,0.04,0.0,1.0,26.99,2.5,0.0,0.75
1,2026-01-01 00:46:33,2026-01-01 01:16:57,0.0,4.3,1.0,N,113,263,1,27.5,4.25,0.5,6.65,0.0,1.0,39.9,2.5,0.0,0.75
2,2026-01-01 00:16:36,2026-01-01 00:40:37,2.0,6.04,1.0,N,164,66,1,31.7,1.0,0.5,9.36,0.0,1.0,46.81,2.5,0.0,0.75
2,2026-01-01 00:44:17,2026-01-01 01:24:14,2.0,4.88,1.0,N,66,225,1,37.3,1.0,0.5,5.0,0.0,1.0,44.8,0.0,0.0,0.0
2,2026-01-01 00:27:43,2026-01-01 00:55:13,1.0,3.22,1.0,N,229,249,2,24.0,1.0,0.5,0.0,0.0,1.0,29.75,2.5,0.0,0.75
2,2026-01-01 00:41:44,2026-01-01 00:50:02,1.0,1.62,1.0,N,238,143,1,10.7,1.0,0.5,2.47,0.0,1.0,18.92,2.5,0.0,0.75
2,2026-01-01 00:54:05,2026-01-01 00:56:36,1.0,0.63,1.0,N,143,143,4,-5.1,-1.0,-0.5,0.0,0.0,-1.0,-10.1,-2.5,0.0,0.0
2,2026-01-01 00:54:05,2026-01-01 00:56:36,1.0,0.63,1.0,N,143,143,4,5.1,1.0,0.5,0.0,0.0,1.0,10.1,2.5,0.0,0.0
2,2026-01-01 00:58:53,2026-01-01 01:06:54,1.0,2.12,1.0,N,142,236,1,11.4,1.0,0.5,4.0,0.0,1.0,20.4,2.5,0.0,0.0
1,2026-01-01 00:16:40,2026-01-01 00:24:47,1.0,2.0,1.0,N,162,263,2,10.0,4.25,0.5,0.0,0.0,1.0,15.75,2.5,0.0,0.75
1,2026-01-01 00:29:13,2026-01-01 00:34:54,1.0,0.9,1.0,N,263,236,1,7.2,3.5,0.5,2.45,0.0,1.0,14.65,2.5,0.0,0.0
1,2026-01-01 00:49:32,2026-01-01 01:18:59,1.0,3.3,1.0,N,237,68,1,24.7,4.25,0.5,6.1,0.0,1.0,36.55,2.5,0.0,0.75
2,2026-01-01 00:50:45,2026-01-01 01:09:06,1.0,4.79,1.0,N,48,42,1,22.6,1.0,0.5,1.0,0.0,1.0,29.35,2.5,0.0,0.75
1,2026-01-01 00:27:23,2026-01-01 01:23:50,1.0,6.6,1.0,N,249,41,1,40.8,4.25,0.5,13.95,0.0,1.0,60.5,2.5,0.0,0.75
2,2026-01-01 00:02:18,2026-01-01 00:13:30,1.0,2.9,1.0,N,231,68,1,14.9,1.0,0.5,4.13,0.0,1.0,24.78,2.5,0.0,0.75
2,2026-01-01 00:21:51,2026-01-01 00:50:53,1.0,1.59,1.0,N,68,48,1,24.0,1.0,0.5,5.95,0.0,1.0,35.7,2.5,0.0,0.75
